COD,REPORTE (20%) ,,,,,,,,,,,,,,,,,,,
20205284,19,,,,,,,,,,,,,,,,,,,
20176896,17,,,,,,,,,,,,,,,,,,,
20205285,19,,,,,,,,,,,,,,,,,,,
20205286,19,,,,,,,,,,,,,,,,,,,
20205287,19,,,,,,,,,,,,,,,,,,,
20205279,19,,,,,,,,,,,,,,,,,,,
20205281,19,,,,,,,,,,,,,,,,,,,
20205288,18,,,,,,,,,,,,,,,,,,,
20165935,19,,,,,,,,,,,,,,,,,,,
20205277,18,,,,,,,,,,,,,,,,,,,
20165936,19,,,,,,,,,,,,,,,,,,,
20205289,17,,,,,,,,,,,,,,,,,,,
20205290,19,,,,,,,,,,,,,,,,,,,
20205291,19,,,,,,,,,,,,,,,,,,,
20205292,19,,,,,,,,,,,,,,,,,,,
20205293,17.5,,,,,,,,,,,,,,,,,,,
20165938,17.5,,,,,,,,,,,,,,,,,,,
20176901,17,,,,,,,,,,,,,,,,,,,
20205283,17.5,,,,,,,,,,,,,,,,,,,
20205294,18,,,,,,,,,,,,,,,,,,,
20205295,17.5,,,,,,,,,,,,,,,,,,,
20205296,18,,,,,,,,,,,,,,,,,,,
20205275,17.5,,,,,,,,,,,,,,,,,,,
20205274,18,,,,,,,,,,,,,,,,,,,
20205297,17,,,,,,,,,,,,,,,,,,,
20205298,17,,,,,,,,,,,,,,,,,,,
20205299,19.5,,,,,,,,,,,,,,,,,,,
20205300,19,,,,,,,,,,,,,,,,,,,
20205309,18,,,,,,,,,,,,,,,,,,,
20186307,19,,,,,,,,,,,,,,,,,,,
20205301,19,,,,,,,,,,,,,,,,,,,
20205282,19,,,,,,,,,,,,,,,,,,,
20205310,19,,,,,,,,,,,,,,,,,,,
20176930,18,,,,,,,,,,,,,,,,,,,
20205278,19.5,,,,,,,,,,,,,,,,,,,
20205302,18,,,,,,,,,,,,,,,,,,,
19926085,18,,,,,,,,,,,,,,,,,,,
20205312,19,,,,,,,,,,,,,,,,,,,
20165949,19,,,,,,,,,,,,,,,,,,,
20205280,19,,,,,,,,,,,,,,,,,,,
20186311,19,,,,,,,,,,,,,,,,,,,
20165950,18,,,,,,,,,,,,,,,,,,,
20205276,19,,,,,,,,,,,,,,,,,,,
20205303,19,,,,,,,,,,,,,,,,,,,
20205304,19,,,,,,,,,,,,,,,,,,,
20205305,19,,,,,,,,,,,,,,,,,,,
20205306,19,,,,,,,,,,,,,,,,,,,
20205313,19,,,,,,,,,,,,,,,,,,,
20205311,19.5,,,,,,,,,,,,,,,,,,,
20176934,19.5,,,,,,,,,,,,,,,,,,,
20205307,19,,,,,,,,,,,,,,,,,,,
20205308,19.5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,